n_eqtls p cumulative_p
1 0.4612220526769721 0.4612220526769721
2 0.21482120347641478 0.6760432561533869
3 0.12923770981224705 0.8052809659656339
4 0.08173555363895707 0.8870165196045909
5 0.054269223114177666 0.9412857427187686
6 0.03675446162011544 0.9780402043388841
7 0.021097326345120414 0.9991375306840045
8 8.624693159954886e-4 1
